0,12,10,76
1,4,7,87
2,8,8,82
3,10,9,79
4,8,8,82
5,7,6,85
6,7,9,82
7,11,6,81
8,5,12,81
9,3,4,91
10,9,7,82
11,11,7,80
12,11,7,80
13,4,4,90
14,5,10,83
15,8,9,81
16,3,7,88
17,6,11,81
18,9,7,82
19,8,10,80
20,7,8,83
21,8,7,83
22,9,8,81
23,6,9,83
24,4,7,87
25,13,8,77
26,5,8,85
27,6,11,81
28,10,6,82
29,9,7,82
30,6,6,86
31,5,4,89
32,4,10,84
33,7,7,84
34,7,5,86
35,10,10,78
36,12,5,81
37,7,5,86
38,12,8,78
39,8,6,84
40,10,10,78
41,10,9,79
42,8,10,80
43,9,12,77
44,8,4,86
45,8,9,81
46,6,9,83
47,14,6,78
48,6,12,80
49,9,8,81
